,Team,# Pl,Age,Poss,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls_Conceded,Ast_Conceded,G-PK_Conceded,PK_Conceded,PKatt_Conceded,CrdY_Conceded,CrdR_Conceded,xG_Conceded,npxG_Conceded,xAG_Conceded,npxG+xAG_Conceded,PrgC_Conceded,PrgP_Conceded
0,Arsenal,30,26.8,61.4,73,61,69,4,5,,,68.3,64.3,53.3,117.6,915,2223,51,38,46,5,6,52,4,47.8,43.1,32.9,75.9,637,1188
1,Bournemouth,22,26.9,48.1,45,36,42,3,3,,,38.8,36.4,29.1,65.5,702,1526,60,44,58,2,3,73,1,59.2,56.8,43.7,100.5,700,1665
2,Brighton,24,27.5,43.7,33,25,28,5,7,,,37.0,31.8,26.2,58.0,523,1230,49,36,48,1,3,30,2,50.8,48.4,34.1,82.5,829,1816
3,Burnley,24,27.5,43.7,35,26,35,0,0,,,32.3,32.3,23.6,55.9,431,1103,38,29,35,3,5,45,6,51.2,47.7,38.0,85.8,866,1572
4,Chelsea,26,26.7,55.6,60,42,57,3,3,,,54.4,52.0,41.5,93.5,1045,1998,36,26,34,2,2,75,1,33.8,32.2,24.4,56.7,582,1400
5,Crystal Palace,28,27.1,45.2,44,26,36,8,10,,,53.5,45.9,33.3,79.2,727,1308,53,40,51,2,2,72,3,48.2,46.7,36.2,82.8,744,1724
6,Everton,30,26.7,45.5,42,26,37,5,8,,,40.5,34.1,24.7,58.8,477,1161,58,51,55,3,5,49,5,52.4,48.7,38.2,86.9,799,1608
7,Huddersfield,25,26.4,45.7,25,19,23,2,2,,,31.3,29.8,23.7,53.5,627,1210,57,41,53,4,6,56,4,48.5,43.8,32.4,76.1,614,1669
8,Leicester City,27,27.2,48.0,53,38,48,5,6,,,50.0,45.3,34.9,80.2,655,1271,58,47,56,2,4,52,1,48.1,45.0,36.7,81.7,828,1658
9,Liverpool,27,25.6,60.3,82,58,80,2,3,,,72.9,70.6,52.7,123.3,982,2236,38,23,34,4,6,50,0,33.8,29.0,21.6,50.6,504,1103
10,Manchester City,25,26.4,71.0,103,85,97,6,8,,,78.6,72.7,57.9,130.6,1308,2570,25,17,25,0,2,77,3,23.8,22.2,16.4,38.7,331,713
11,Manchester Utd,27,26.7,54.7,67,53,66,1,3,,,55.7,53.3,40.5,93.8,920,1564,26,18,25,1,1,69,1,40.7,39.9,30.9,70.8,779,1463
12,Newcastle Utd,27,25.6,41.7,38,29,38,0,1,,,41.6,40.9,32.1,72.9,548,1145,44,32,40,4,6,62,0,52.4,47.6,37.4,85.1,685,1844
13,Southampton,26,26.2,51.3,36,23,33,3,3,,,39.9,37.6,29.5,67.0,694,1609,56,43,55,1,2,51,2,45.2,43.6,33.7,77.3,670,1443
14,Stoke City,30,27.5,41.4,34,28,34,0,3,,,36.5,34.1,27.4,61.4,477,1150,66,49,61,5,5,49,0,62.5,58.6,46.3,104.9,889,1749
15,Swansea City,26,27.2,45.3,27,20,26,1,1,,,31.6,30.8,20.2,51.0,596,1194,54,37,51,3,6,68,0,58.6,53.8,42.1,95.9,765,1838
16,Tottenham,25,25.8,61.8,70,51,68,2,3,,,64.7,62.3,49.0,111.3,862,2249,35,22,33,2,3,75,1,33.9,31.5,22.1,53.6,499,1028
17,Watford,29,27.9,49.7,42,27,39,3,6,,,45.0,40.2,29.2,69.4,647,1455,63,43,57,6,6,65,3,51.8,47.2,36.4,83.6,685,1391
18,West Brom,24,29.1,40.7,31,24,30,1,1,,,36.5,35.7,25.9,61.6,507,1106,54,44,53,1,1,56,1,47.9,47.1,36.8,83.9,903,1924
19,West Ham,27,28.0,45.2,48,29,46,2,4,,,36.7,33.6,24.9,58.4,523,1179,67,48,62,5,6,55,1,55.1,50.7,39.1,89.8,857,1691
